,word,phones,phonetic_leaf
0,<sil>,['SIL1'],k
1,<sil>,['SIL2'],k
2,<sil>,['SIL0'],k
3,<sil>,['SIL3'],k
4,a,['EY1'],g
5,a,['AH0'],g
6,abandon,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N']",d
7,abandoned,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'D']",d
8,abandonment,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'M', 'AH0', 'N', 'T']",d
9,abash,"['AH0', 'B', 'AE1', 'SH']",d
10,abatement,"['AH0', 'B', 'EY1', 'T', 'M', 'AH0', 'N', 'T']",d
11,abbey,"['AE1', 'B', 'IY0']",g
12,abduction,"['AH0', 'B', 'D', 'AH1', 'K', 'SH', 'AH0', 'N']",d
13,abeyance,"['AH0', 'B', 'EY1', 'AH0', 'N', 'S']",e
14,abiding,"['AH0', 'B', 'AY1', 'D', 'IH0', 'NG']",a
15,abilities,"['AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0', 'Z']",e
16,ability,"['AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']",a
17,abingdon,"['AE1', 'B', 'IH0', 'NG', 'D', 'AH0', 'N']",d
18,abinger,"['AE1', 'B', 'IH0', 'NG', 'ER0']",a
19,abject,"['AE1', 'B', 'JH', 'EH0', 'K', 'T']",d
20,able,"['EY1', 'B', 'AH0', 'L']",a
21,ablution,"['EY1', 'B', 'L', 'UW1', 'SH', 'AH0', 'N']",d
22,ablutions,"['EY1', 'B', 'L', 'UW1', 'SH', 'AH0', 'N', 'Z']",e
23,ably,"['EY1', 'B', 'L', 'IY0']",a
24,abnormalities,"['AE2', 'B', 'N', 'AO0', 'R', 'M', 'AE1', 'L', 'AH0', 'T', 'IY0', 'Z']",e
25,aboard,"['AH0', 'B', 'AO1', 'R', 'D']",d
26,abode,"['AH0', 'B', 'OW1', 'D']",d
27,abolish,"['AH0', 'B', 'AA1', 'L', 'IH0', 'SH']",d
28,abolished,"['AH0', 'B', 'AA1', 'L', 'IH0', 'SH', 'T']",d
29,abolishing,"['AH0', 'B', 'AA1', 'L', 'IH0', 'SH', 'IH0', 'NG']",a
30,abolition,"['AE2', 'B', 'AH0', 'L', 'IH1', 'SH', 'AH0', 'N']",d
31,abominable,"['AH0', 'B', 'AA1', 'M', 'AH0', 'N', 'AH0', 'B', 'AH0', 'L']",a
32,abortive,"['AH0', 'B', 'AO1', 'R', 'T', 'IH0', 'V']",d
33,abound,"['AH0', 'B', 'AW1', 'N', 'D']",d
34,about,"['AH0', 'B', 'AW1', 'T']",d
35,above,"['AH0', 'B', 'AH1', 'V']",d
36,abraham,"['EY1', 'B', 'R', 'AH0', 'HH', 'AE2', 'M']",d
37,abrahams,"['EY1', 'B', 'R', 'AH0', 'HH', 'AE2', 'M', 'Z']",e
38,abreast,"['AH0', 'B', 'R', 'EH1', 'S', 'T']",d
39,abroad,"['AH0', 'B', 'R', 'AO1', 'D']",d
40,abruptly,"['AH0', 'B', 'R', 'AH1', 'P', 'T', 'L', 'IY0']",a
41,abscond,"['AE0', 'B', 'S', 'K', 'AA1', 'N', 'D']",d
42,absconded,"['AE0', 'B', 'S', 'K', 'AA1', 'N', 'D', 'AH0', 'D']",d
43,absconding,"['AE0', 'B', 'S', 'K', 'AA1', 'N', 'D', 'IH0', 'NG']",a
44,absence,"['AE1', 'B', 'S', 'AH0', 'N', 'S']",e
45,absent,"['AE1', 'B', 'S', 'AH0', 'N', 'T']",d
46,absentee,"['AE2', 'B', 'S', 'AH0', 'N', 'T', 'IY1']",a
47,absolute,"['AE1', 'B', 'S', 'AH0', 'L', 'UW2', 'T']",d
48,absolutely,"['AE2', 'B', 'S', 'AH0', 'L', 'UW1', 'T', 'L', 'IY0']",a
49,absolved,"['AH0', 'B', 'Z', 'AA1', 'L', 'V', 'D']",d
50,absorb,"['AH0', 'B', 'Z', 'AO1', 'R', 'B']",d
51,absorbed,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'D']",d
52,absorbing,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'IH0', 'NG']",a
53,absorbs,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'Z']",e
54,absorption,"['AH0', 'B', 'Z', 'AO1', 'R', 'P', 'SH', 'AH0', 'N']",d
55,absorption,"['AH0', 'B', 'S', 'AO1', 'R', 'P', 'SH', 'AH0', 'N']",d
56,abstained,"['AE0', 'B', 'S', 'T', 'EY1', 'N', 'D']",d
57,abstaining,"['AE0', 'B', 'S', 'T', 'EY1', 'N', 'IH0', 'NG']",a
58,abstract,"['AE1', 'B', 'S', 'T', 'R', 'AE2', 'K', 'T']",d
59,abstracted,"['AE1', 'B', 'S', 'T', 'R', 'AE2', 'K', 'T', 'IH0', 'D']",d
60,abstracting,"['AE0', 'B', 'S', 'T', 'R', 'AE1', 'K', 'T', 'IH0', 'NG']",a
61,abstraction,"['AE0', 'B', 'S', 'T', 'R', 'AE1', 'K', 'SH', 'AH0', 'N']",d
62,abstractions,"['AE0', 'B', 'S', 'T', 'R', 'AE1', 'K', 'SH', 'AH0', 'N', 'Z']",e
63,absurdity,"['AH0', 'B', 'S', 'ER1', 'D', 'AH0', 'T', 'IY0']",a
64,abundance,"['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'S']",e
65,abundant,"['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'T']",d
66,abundantly,"['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'T', 'L', 'IY0']",a
